cast,genres,movie_id,original_title,plot
"['Sam Worthington', 'Zoe Saldana', 'Sigourney ...","['Action', 'Adventure', 'Fantasy']",19995,Avatar,"In the 22nd century, a paraplegic Marine is di..."
"['Johnny Depp', 'Orlando Bloom', 'Keira Knight...","['Adventure', 'Fantasy', 'Action']",285,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, ha..."
"['Daniel Craig', 'Christoph Waltz', 'Léa Seydo...","['Action', 'Adventure', 'Crime']",206647,Spectre,A cryptic message from Bond’s past sends him o...
"['Christian Bale', 'Michael Caine', 'Gary Oldm...","['Action', 'Crime', 'Drama']",49026,The Dark Knight Rises,Following the death of District Attorney Harve...
"['Taylor Kitsch', 'Lynn Collins', 'Samantha Mo...","['Action', 'Adventure', 'Science Fiction']",49529,John Carter,"John Carter is a war-weary, former military ca..."
"['Tobey Maguire', 'Kirsten Dunst', 'James Fran...","['Fantasy', 'Action', 'Adventure']",559,Spider-Man 3,The seemingly invincible Spider-Man goes up ag...
"['Zachary Levi', 'Mandy Moore', 'Donna Murphy']","['Animation', 'Family']",38757,Tangled,When the kingdom's most wanted-and most charmi...
"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark...","['Action', 'Adventure', 'Science Fiction']",99861,Avengers: Age of Ultron,When Tony Stark tries to jumpstart a dormant p...
"['Daniel Radcliffe', 'Rupert Grint', 'Emma Wat...","['Adventure', 'Fantasy', 'Family']",767,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he..."
"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']","['Action', 'Adventure', 'Fantasy']",209112,Batman v Superman: Dawn of Justice,Fearing the actions of a god-like Super Hero l...
"['Brandon Routh', 'Kevin Spacey', 'Kate Boswor...","['Adventure', 'Fantasy', 'Action']",1452,Superman Returns,Superman returns to discover his 5-year absenc...
"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Am...","['Adventure', 'Action', 'Thriller']",10764,Quantum of Solace,Quantum of Solace continues the adventures of ...
"['Johnny Depp', 'Orlando Bloom', 'Keira Knight...","['Adventure', 'Fantasy', 'Action']",58,Pirates of the Caribbean: Dead Man's Chest,Captain Jack Sparrow works his way out of a bl...
"['Johnny Depp', 'Armie Hammer', 'William Ficht...","['Action', 'Adventure', 'Western']",57201,The Lone Ranger,The Texas Rangers chase down a gang of outlaws...
"['Henry Cavill', 'Amy Adams', 'Michael Shannon']","['Action', 'Adventure', 'Fantasy']",49521,Man of Steel,A young boy learns that he has extraordinary p...
"['Ben Barnes', 'William Moseley', 'Anna Popple...","['Adventure', 'Family', 'Fantasy']",2454,The Chronicles of Narnia: Prince Caspian,One year after their incredible adventures in ...
"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruf...","['Science Fiction', 'Action', 'Adventure']",24428,The Avengers,When an unexpected enemy emerges and threatens...
"['Johnny Depp', 'Penélope Cruz', 'Ian McShane']","['Adventure', 'Action', 'Fantasy']",1865,Pirates of the Caribbean: On Stranger Tides,Captain Jack Sparrow crosses paths with a woma...
"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin']","['Action', 'Comedy', 'Science Fiction']",41154,Men in Black 3,Agents J (Will Smith) and K (Tommy Lee Jones) ...
"['Martin Freeman', 'Ian McKellen', 'Richard Ar...","['Action', 'Adventure', 'Fantasy']",122917,The Hobbit: The Battle of the Five Armies,Immediately after the events of The Desolation...
"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']","['Action', 'Adventure', 'Fantasy']",1930,The Amazing Spider-Man,Peter Parker is an outcast high schooler aband...
"['Russell Crowe', 'Cate Blanchett', 'Max von S...","['Action', 'Adventure']",20662,Robin Hood,When soldier Robin happens upon the dying Robe...
"['Martin Freeman', 'Ian McKellen', 'Richard Ar...","['Adventure', 'Fantasy']",57158,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successful..."
"['Dakota Blue Richards', 'Nicole Kidman', 'Dan...","['Adventure', 'Fantasy']",2268,The Golden Compass,"After overhearing a shocking secret, precociou..."
"['Naomi Watts', 'Jack Black', 'Adrien Brody']","['Adventure', 'Drama', 'Action']",254,King Kong,"In 1933 New York, an overly ambitious movie pr..."
"['Kate Winslet', 'Leonardo DiCaprio', 'Frances...","['Drama', 'Romance', 'Thriller']",597,Titanic,"84 years later, a 101-year-old woman named Ros..."
"['Chris Evans', 'Robert Downey Jr.', 'Scarlett...","['Adventure', 'Action', 'Science Fiction']",271110,Captain America: Civil War,"Following the events of Age of Ultron, the col..."
